"Building","Date","Samples","Pumping_Time","Sample_Time","Pumping_Volume","Sample_Volume","Exported_Volume","organism_1","organism_2","organism_3","organism_26"
"CVP","1993-03-25",12,1440,120,12726.45340416,1060.53778368,9871.54044,0,2,60,0
"SWP","1993-03-26",12,1440,360,8293.8774528,2073.4693632,8078.06052,0,8,0,0
"CVP","1993-03-26",12,1440,120,13250.42747136,1104.20228928,9685.28496,0,2,47,0
"SWP","1993-03-27",12,1440,360,8293.8774528,2073.4693632,8350.6596,1,8,0,0
"CVP","1993-03-27",12,1440,120,13473.88100352,1122.82341696,9682.818,1,1,37,0
"SWP","1993-03-28",12,1440,350,8293.8774528,2015.872992,8207.57592,4,4,0,0
"CVP","1993-03-28",12,1440,120,13565.62743552,1130.46895296,9664.3158,0,1,61,0
"SWP","1993-03-29",12,1440,360,8293.8774528,2073.4693632,8136.03408,3,4,2,1
"CVP","1993-03-29",12,1440,120,13255.11673344,1104.59306112,9658.1484,1,4,42,0
"SWP","1993-03-30",12,1440,360,8293.8774528,2073.4693632,8059.55832,2,8,3,0
"CVP","1993-03-30",12,1440,120,12967.64457984,1080.63704832,9606.34224,2,3,23,0
"SWP","1993-03-31",12,1440,360,8293.8774528,2073.4693632,8063.25876,3,4,4,1
"CVP","1993-03-31",10,1440,100,12783.74395392,894.73159296,9796.29816,0,0,24,0
"SWP","1993-04-01",12,1440,360,8293.8774528,2073.4693632,8112.59796,4,4,2,0
"CVP","1993-04-01",12,1440,120,12589.44539904,1049.12044992,9640.87968,3,2,37,0
"SWP","1993-04-02",12,1440,360,8293.8774528,2073.4693632,8043.52308,2,1,2,0
"CVP","1993-04-02",9,1440,90,12870.59724288,790.1236704,9713.655,0,0,8,0
"SWP","1993-04-03",11,1440,330,8293.8774528,1900.6802496,8103.9636,3,3,2,0
"CVP","1993-04-03",12,1440,120,13833.11925504,1152.75993792,9632.24532,0,2,19,0
"SWP","1993-04-04",11,1380,330,7948.2992256,1900.6802496,7772.15748,2,6,1,0
"CVP","1993-04-04",12,1380,120,12962.64949632,1131.0296256,9216.56256,0,2,17,0
"SWP","1993-04-05",12,1440,360,8293.8774528,2073.4693632,8008.98564,2,2,1,0
"CVP","1993-04-05",12,1440,120,13081.0023936,1090.0835328,9584.1396,0,1,21,0
"SWP","1993-04-06",12,1440,360,6911.564544,1727.891136,7387.31172,3,3,0,0
"CVP","1993-04-06",12,1440,120,12735.62804736,1061.30233728,9606.34224,1,2,13,0
"SWP","1993-04-07",12,1440,990,8293.8774528,5702.0407488,7440.35136,4,7,5,0
"CVP","1993-04-07",12,1440,120,13015.96436736,1084.66369728,9598.94136,2,1,10,0
"SWP","1993-04-08",12,1440,1440,8293.8774528,8293.8774528,7946.07816,25,9,5,0
"CVP","1993-04-08",12,1440,120,12132.54816768,1011.04568064,9626.07792,11,0,38,0
"SWP","1993-04-09",12,1440,1440,8293.8774528,8293.8774528,7835.06496,25,8,2,0
"CVP","1993-04-09",12,1440,120,12389.23429632,1032.43619136,9656.91492,31,7,38,0
"SWP","1993-04-10",12,1440,1440,8293.8774528,8293.8774528,8041.05612,21,14,2,0
"CVP","1993-04-10",12,1440,120,12733.79311872,1061.14942656,9680.35104,38,3,6,0
"SWP","1993-04-11",12,1440,360,8293.8774528,2073.4693632,8011.4526,19,2,0,0
"CVP","1993-04-11",12,1440,120,13111.38065664,1092.61505472,9687.75192,21,2,15,0
"SWP","1993-04-12",12,1440,360,8293.8774528,2073.4693632,7996.65084,6,6,0,0
"CVP","1993-04-12",12,1440,120,12139.0723584,1011.5893632,8333.39088,21,4,11,0
"SWP","1993-04-13",12,1440,360,8293.8774528,2073.4693632,8016.38652,10,3,1,0
"CVP","1993-04-13",10,1200,100,9473.3288064,789.4440672,7265.1972,13,1,24,0
"SWP","1993-04-14",12,1440,360,8293.8774528,2073.4693632,8078.06052,11,5,0,0
"CVP","1993-04-14",12,1440,120,12005.5303296,1000.4608608,8387.664,17,3,14,0
"SWP","1993-04-15",12,1440,360,8293.8774528,2073.4693632,8069.42616,9,4,0,0
"CVP","1993-04-15",12,1440,120,12364.97246208,1030.41437184,9575.50524,14,2,22,0
"SWP","1993-04-16",12,1440,350,8293.8774528,2015.872992,8006.51868,17,1,0,0
"CVP","1993-04-16",12,1440,120,11121.50248704,926.79187392,9004.404,23,4,6,0
"SWP","1993-04-17",12,1440,360,8293.8774528,2073.4693632,7991.71692,19,2,0,0
"CVP","1993-04-17",12,1440,120,10527.3933696,877.2827808,8585.0208,34,3,4,0
"SWP","1993-04-18",12,1440,360,8293.8774528,2073.4693632,8008.98564,18,4,0,0
"CVP","1993-04-18",12,1440,120,11884.83280128,990.40273344,8618.32476,30,2,8,0
"SWP","1993-04-19",12,1440,360,8293.8774528,2073.4693632,8008.98564,11,7,0,0
"CVP","1993-04-19",12,1440,120,11917.65763584,993.13813632,8667.66396,20,4,4,0
"SWP","1993-04-20",12,1440,360,8293.8774528,2073.4693632,8001.58476,30,3,0,0
"CVP","1993-04-20",11,1440,110,8559.12658176,668.3047968,5963.8758,31,3,3,0
"SWP","1993-04-21",10,1200,300,6911.564544,1727.891136,6680.52768,27,6,1,0
"CVP","1993-04-21",12,1440,120,6043.84717824,503.65393152,4391.1888,13,1,1,0
"SWP","1993-04-22",12,1440,240,8293.8774528,1382.3129088,7976.91516,41,0,0,0
"CVP","1993-04-22",12,1440,120,5091.11145216,424.25928768,4397.3562,3,2,0,0
"SWP","1993-04-23",12,1440,300,5298.356448,959.7696192,5075.7702,11,1,1,0
"CVP","1993-04-23",12,1440,120,4936.77356544,411.39779712,4396.12272,11,3,0,0
"SWP","1993-04-24",12,1440,360,5411.5103808,1343.3206752,5291.6292,11,3,0,0
"CVP","1993-04-24",12,1440,120,5039.9373312,419.9947776,4383.78792,11,0,8,0
"SWP","1993-04-25",12,1500,360,5449.7380608,1304.838144,5413.74372,17,2,0,0
"CVP","1993-04-25",12,1440,120,4832.18263296,402.68188608,4389.95532,14,0,3,0
"SWP","1993-04-26",12,1380,360,1758.47328,458.73216,2364.58116,14,2,0,0
"CVP","1993-04-26",12,1440,120,3155.26173696,262.93847808,2360.88072,6,2,1,0
"SWP","1993-04-27",12,1440,360,1834.92864,458.73216,1876.12308,11,1,0,0
"CVP","1993-04-27",12,1440,120,2349.93194496,195.82766208,1571.45352,11,0,0,0
"SWP","1993-04-28",12,1440,360,1834.92864,458.73216,2011.80588,9,1,1,0
"CVP","1993-04-28",12,1440,120,5325.98231808,443.83185984,1889.69136,17,0,4,0
"SWP","1993-04-29",11,1440,330,1834.92864,420.50448,1814.44908,15,2,0,0
